interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Deep Learning,machine learning,intermediate,none,English,Deep Learning intermediate English
Ruby,programming,advanced,advanced,English,Ruby advanced English
Geometry,math,advanced,basic,English,Geometry advanced English
Computer Vision,machine learning,advanced,basic,English,Computer Vision advanced English
World Literature,literature,advanced,basic,English,World Literature advanced English
Deep Learning,machine learning,advanced,intermediate,Hindi,Deep Learning advanced Hindi
Number Theory,math,advanced,none,Hindi,Number Theory advanced Hindi
Physical Chemistry,chemistry,beginner,none,Hindi,Physical Chemistry beginner Hindi
Data Analysis,data science,intermediate,advanced,Hindi,Data Analysis intermediate Hindi
Go,programming,beginner,intermediate,Hindi,Go beginner Hindi
JavaScript,programming,intermediate,basic,English,JavaScript intermediate English
Number Theory,math,advanced,advanced,English,Number Theory advanced English
Drama,literature,intermediate,none,English,Drama intermediate English
Optics,physics,advanced,advanced,English,Optics advanced English
Java,programming,beginner,basic,English,Java beginner English
JavaScript,programming,intermediate,intermediate,Hindi,JavaScript intermediate Hindi
Data Visualization,data science,intermediate,none,Hindi,Data Visualization intermediate Hindi
Natural Language Processing,machine learning,beginner,basic,Hindi,Natural Language Processing beginner Hindi
Java,programming,advanced,advanced,Hindi,Java advanced Hindi
Data Visualization,data science,intermediate,basic,Hindi,Data Visualization intermediate Hindi
Poetry,literature,intermediate,intermediate,English,Poetry intermediate English
Physical Chemistry,chemistry,beginner,advanced,Hindi,Physical Chemistry beginner Hindi
Computer Vision,machine learning,advanced,advanced,Hindi,Computer Vision advanced Hindi
Physical Chemistry,chemistry,advanced,intermediate,English,Physical Chemistry advanced English
Physical Chemistry,chemistry,beginner,basic,English,Physical Chemistry beginner English
Organic Chemistry,chemistry,intermediate,basic,English,Organic Chemistry intermediate English
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
Natural Language Processing,machine learning,beginner,advanced,English,Natural Language Processing beginner English
Modern History,history,intermediate,intermediate,Hindi,Modern History intermediate Hindi
Poetry,literature,beginner,advanced,Hindi,Poetry beginner Hindi
Medieval History,history,intermediate,advanced,English,Medieval History intermediate English
Indian History,history,beginner,intermediate,Hindi,Indian History beginner Hindi
Modern Physics,physics,advanced,advanced,English,Modern Physics advanced English
Modern Physics,physics,beginner,intermediate,English,Modern Physics beginner English
Calculus,math,intermediate,advanced,English,Calculus intermediate English
Big Data,data science,intermediate,none,English,Big Data intermediate English
Inorganic Chemistry,chemistry,intermediate,intermediate,Hindi,Inorganic Chemistry intermediate Hindi
English Literature,literature,beginner,advanced,Hindi,English Literature beginner Hindi
Modern Physics,physics,beginner,advanced,Hindi,Modern Physics beginner Hindi
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
Number Theory,math,advanced,none,English,Number Theory advanced English
Physical Chemistry,chemistry,beginner,none,English,Physical Chemistry beginner English
Optics,physics,beginner,intermediate,Hindi,Optics beginner Hindi
American Literature,literature,intermediate,intermediate,English,American Literature intermediate English
JavaScript,programming,beginner,intermediate,English,JavaScript beginner English
Probability and Statistics,math,beginner,advanced,English,Probability and Statistics beginner English
Drama,literature,intermediate,none,English,Drama intermediate English
Ruby,programming,beginner,intermediate,English,Ruby beginner English
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Natural Language Processing,machine learning,advanced,basic,English,Natural Language Processing advanced English
Ancient History,history,intermediate,none,English,Ancient History intermediate English
World Wars,history,beginner,none,English,World Wars beginner English
JavaScript,programming,advanced,advanced,Hindi,JavaScript advanced Hindi
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Data Mining,data science,beginner,advanced,Hindi,Data Mining beginner Hindi
Ancient History,history,beginner,basic,English,Ancient History beginner English
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Data Analysis,data science,intermediate,basic,English,Data Analysis intermediate English
Thermodynamics,physics,beginner,intermediate,English,Thermodynamics beginner English
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Data Visualization,data science,beginner,none,English,Data Visualization beginner English
Medieval History,history,beginner,none,Hindi,Medieval History beginner Hindi
Algebra,math,intermediate,intermediate,Hindi,Algebra intermediate Hindi
Medieval History,history,intermediate,basic,English,Medieval History intermediate English
Organic Chemistry,chemistry,intermediate,intermediate,English,Organic Chemistry intermediate English
Calculus,math,advanced,advanced,Hindi,Calculus advanced Hindi
Electricity and Magnetism,physics,intermediate,intermediate,English,Electricity and Magnetism intermediate English
Modern History,history,intermediate,basic,English,Modern History intermediate English
Swift,programming,intermediate,advanced,Hindi,Swift intermediate Hindi
Analytical Chemistry,chemistry,intermediate,intermediate,English,Analytical Chemistry intermediate English
Thermodynamics,physics,intermediate,none,Hindi,Thermodynamics intermediate Hindi
Big Data,data science,intermediate,none,Hindi,Big Data intermediate Hindi
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Probability and Statistics,math,beginner,basic,Hindi,Probability and Statistics beginner Hindi
Java,programming,beginner,intermediate,Hindi,Java beginner Hindi
Analytical Chemistry,chemistry,beginner,basic,Hindi,Analytical Chemistry beginner Hindi
Indian History,history,intermediate,basic,Hindi,Indian History intermediate Hindi
Machine Learning Basics,machine learning,advanced,intermediate,Hindi,Machine Learning Basics advanced Hindi
Data Visualization,data science,advanced,intermediate,English,Data Visualization advanced English
Mechanics,physics,intermediate,intermediate,Hindi,Mechanics intermediate Hindi
Organic Chemistry,chemistry,advanced,intermediate,English,Organic Chemistry advanced English
Inorganic Chemistry,chemistry,advanced,advanced,Hindi,Inorganic Chemistry advanced Hindi
Big Data,data science,advanced,basic,Hindi,Big Data advanced Hindi
Computer Vision,machine learning,advanced,intermediate,English,Computer Vision advanced English
Modern History,history,beginner,intermediate,English,Modern History beginner English
English Literature,literature,advanced,basic,English,English Literature advanced English
Inorganic Chemistry,chemistry,advanced,basic,Hindi,Inorganic Chemistry advanced Hindi
Natural Language Processing,machine learning,advanced,intermediate,English,Natural Language Processing advanced English
Medieval History,history,beginner,none,English,Medieval History beginner English
American Literature,literature,beginner,basic,English,American Literature beginner English
Python,programming,advanced,basic,English,Python advanced English
R,programming,beginner,none,Hindi,R beginner Hindi
R,programming,advanced,none,Hindi,R advanced Hindi
Mechanics,physics,beginner,basic,Hindi,Mechanics beginner Hindi
Inorganic Chemistry,chemistry,advanced,none,English,Inorganic Chemistry advanced English
Organic Chemistry,chemistry,intermediate,advanced,Hindi,Organic Chemistry intermediate Hindi
Go,programming,advanced,intermediate,English,Go advanced English
Organic Chemistry,chemistry,intermediate,advanced,Hindi,Organic Chemistry intermediate Hindi
Inorganic Chemistry,chemistry,beginner,none,English,Inorganic Chemistry beginner English
Go,programming,beginner,none,English,Go beginner English
Geometry,math,advanced,intermediate,English,Geometry advanced English
Python,programming,advanced,advanced,Hindi,Python advanced Hindi
Electricity and Magnetism,physics,advanced,advanced,English,Electricity and Magnetism advanced English
Java,programming,beginner,basic,Hindi,Java beginner Hindi
World Literature,literature,beginner,advanced,English,World Literature beginner English
American Literature,literature,beginner,intermediate,Hindi,American Literature beginner Hindi
Analytical Chemistry,chemistry,advanced,advanced,English,Analytical Chemistry advanced English
Data Mining,data science,beginner,advanced,English,Data Mining beginner English
Machine Learning Basics,machine learning,intermediate,advanced,English,Machine Learning Basics intermediate English
Analytical Chemistry,chemistry,advanced,basic,Hindi,Analytical Chemistry advanced Hindi
Geometry,math,advanced,basic,Hindi,Geometry advanced Hindi
Machine Learning Basics,machine learning,intermediate,basic,English,Machine Learning Basics intermediate English
Machine Learning Basics,machine learning,intermediate,none,Hindi,Machine Learning Basics intermediate Hindi
American Literature,literature,advanced,advanced,English,American Literature advanced English
Drama,literature,beginner,none,Hindi,Drama beginner Hindi
Java,programming,advanced,none,Hindi,Java advanced Hindi
Modern History,history,intermediate,advanced,English,Modern History intermediate English
JavaScript,programming,beginner,advanced,English,JavaScript beginner English
R,programming,beginner,none,Hindi,R beginner Hindi
English Literature,literature,intermediate,none,Hindi,English Literature intermediate Hindi
Mechanics,physics,intermediate,intermediate,Hindi,Mechanics intermediate Hindi
Poetry,literature,beginner,advanced,English,Poetry beginner English
Geometry,math,intermediate,none,English,Geometry intermediate English
Ruby,programming,beginner,none,English,Ruby beginner English
Indian History,history,advanced,basic,English,Indian History advanced English
Inorganic Chemistry,chemistry,intermediate,intermediate,English,Inorganic Chemistry intermediate English
English Literature,literature,advanced,none,Hindi,English Literature advanced Hindi
Data Analysis,data science,advanced,advanced,Hindi,Data Analysis advanced Hindi
Computer Vision,machine learning,advanced,none,English,Computer Vision advanced English
Number Theory,math,beginner,basic,Hindi,Number Theory beginner Hindi
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Computer Vision,machine learning,beginner,none,English,Computer Vision beginner English
Python,programming,beginner,advanced,English,Python beginner English
JavaScript,programming,advanced,advanced,Hindi,JavaScript advanced Hindi
Calculus,math,beginner,basic,Hindi,Calculus beginner Hindi
Algebra,math,intermediate,advanced,Hindi,Algebra intermediate Hindi
C++,programming,intermediate,none,Hindi,C++ intermediate Hindi
Number Theory,math,advanced,intermediate,Hindi,Number Theory advanced Hindi
Data Visualization,data science,intermediate,intermediate,English,Data Visualization intermediate English
C++,programming,intermediate,basic,English,C++ intermediate English
World Wars,history,intermediate,none,Hindi,World Wars intermediate Hindi
Drama,literature,beginner,none,Hindi,Drama beginner Hindi
World Wars,history,advanced,advanced,English,World Wars advanced English
American Literature,literature,advanced,intermediate,Hindi,American Literature advanced Hindi
Poetry,literature,intermediate,none,Hindi,Poetry intermediate Hindi
World Wars,history,beginner,none,Hindi,World Wars beginner Hindi
Indian History,history,intermediate,intermediate,English,Indian History intermediate English
Natural Language Processing,machine learning,advanced,basic,Hindi,Natural Language Processing advanced Hindi
Natural Language Processing,machine learning,advanced,none,English,Natural Language Processing advanced English
C++,programming,advanced,advanced,Hindi,C++ advanced Hindi
Organic Chemistry,chemistry,advanced,basic,Hindi,Organic Chemistry advanced Hindi
Poetry,literature,intermediate,advanced,English,Poetry intermediate English
Ancient History,history,advanced,none,Hindi,Ancient History advanced Hindi
Computer Vision,machine learning,intermediate,intermediate,English,Computer Vision intermediate English
Modern Physics,physics,beginner,basic,Hindi,Modern Physics beginner Hindi
Number Theory,math,beginner,basic,English,Number Theory beginner English
Optics,physics,intermediate,none,English,Optics intermediate English
Poetry,literature,advanced,intermediate,English,Poetry advanced English
Geometry,math,advanced,basic,English,Geometry advanced English
Analytical Chemistry,chemistry,intermediate,intermediate,English,Analytical Chemistry intermediate English
Physical Chemistry,chemistry,intermediate,advanced,English,Physical Chemistry intermediate English
Geometry,math,advanced,intermediate,English,Geometry advanced English
Machine Learning Basics,machine learning,advanced,advanced,Hindi,Machine Learning Basics advanced Hindi
Data Mining,data science,advanced,intermediate,Hindi,Data Mining advanced Hindi
R,programming,beginner,advanced,Hindi,R beginner Hindi
Data Visualization,data science,intermediate,basic,Hindi,Data Visualization intermediate Hindi
R,programming,advanced,intermediate,Hindi,R advanced Hindi
Data Visualization,data science,beginner,advanced,English,Data Visualization beginner English
JavaScript,programming,beginner,intermediate,Hindi,JavaScript beginner Hindi
Go,programming,beginner,advanced,Hindi,Go beginner Hindi
English Literature,literature,intermediate,none,Hindi,English Literature intermediate Hindi
Machine Learning Basics,machine learning,beginner,advanced,English,Machine Learning Basics beginner English
Data Visualization,data science,intermediate,intermediate,Hindi,Data Visualization intermediate Hindi
Computer Vision,machine learning,intermediate,intermediate,Hindi,Computer Vision intermediate Hindi
Medieval History,history,beginner,advanced,English,Medieval History beginner English
R,programming,beginner,basic,Hindi,R beginner Hindi
C++,programming,beginner,advanced,English,C++ beginner English
Number Theory,math,beginner,intermediate,English,Number Theory beginner English
Ruby,programming,beginner,basic,Hindi,Ruby beginner Hindi
Analytical Chemistry,chemistry,intermediate,advanced,Hindi,Analytical Chemistry intermediate Hindi
Data Mining,data science,advanced,intermediate,Hindi,Data Mining advanced Hindi
English Literature,literature,intermediate,advanced,English,English Literature intermediate English
Python,programming,beginner,basic,Hindi,Python beginner Hindi
Inorganic Chemistry,chemistry,beginner,intermediate,Hindi,Inorganic Chemistry beginner Hindi
Data Mining,data science,advanced,none,English,Data Mining advanced English
Mechanics,physics,advanced,basic,Hindi,Mechanics advanced Hindi
Java,programming,beginner,basic,English,Java beginner English
Algebra,math,intermediate,none,Hindi,Algebra intermediate Hindi
Go,programming,advanced,intermediate,Hindi,Go advanced Hindi
Data Visualization,data science,intermediate,advanced,English,Data Visualization intermediate English
Medieval History,history,advanced,intermediate,English,Medieval History advanced English
English Literature,literature,beginner,none,Hindi,English Literature beginner Hindi
Go,programming,intermediate,basic,Hindi,Go intermediate Hindi
JavaScript,programming,beginner,intermediate,English,JavaScript beginner English
PHP,programming,advanced,basic,Hindi,PHP advanced Hindi
Algebra,math,beginner,none,English,Algebra beginner English
Big Data,data science,advanced,advanced,English,Big Data advanced English
Analytical Chemistry,chemistry,advanced,intermediate,English,Analytical Chemistry advanced English
Analytical Chemistry,chemistry,beginner,basic,English,Analytical Chemistry beginner English
Modern Physics,physics,intermediate,none,Hindi,Modern Physics intermediate Hindi
Algebra,math,advanced,intermediate,English,Algebra advanced English
American Literature,literature,beginner,advanced,Hindi,American Literature beginner Hindi
Electricity and Magnetism,physics,intermediate,intermediate,Hindi,Electricity and Magnetism intermediate Hindi
Data Visualization,data science,beginner,advanced,Hindi,Data Visualization beginner Hindi
Ancient History,history,advanced,advanced,Hindi,Ancient History advanced Hindi
Poetry,literature,beginner,advanced,Hindi,Poetry beginner Hindi
Data Analysis,data science,intermediate,advanced,English,Data Analysis intermediate English
Algebra,math,intermediate,none,Hindi,Algebra intermediate Hindi
Algebra,math,beginner,intermediate,English,Algebra beginner English
Python,programming,advanced,basic,English,Python advanced English
Swift,programming,advanced,none,Hindi,Swift advanced Hindi
Swift,programming,beginner,none,Hindi,Swift beginner Hindi
English Literature,literature,advanced,intermediate,English,English Literature advanced English
Algebra,math,intermediate,intermediate,English,Algebra intermediate English
Algebra,math,intermediate,none,Hindi,Algebra intermediate Hindi
Inorganic Chemistry,chemistry,advanced,advanced,English,Inorganic Chemistry advanced English
C++,programming,advanced,intermediate,Hindi,C++ advanced Hindi
Data Mining,data science,advanced,basic,English,Data Mining advanced English
Modern Physics,physics,intermediate,basic,English,Modern Physics intermediate English
Optics,physics,beginner,intermediate,Hindi,Optics beginner Hindi
Natural Language Processing,machine learning,beginner,basic,English,Natural Language Processing beginner English
Thermodynamics,physics,beginner,none,Hindi,Thermodynamics beginner Hindi
Swift,programming,beginner,advanced,English,Swift beginner English
Computer Vision,machine learning,advanced,basic,Hindi,Computer Vision advanced Hindi
Probability and Statistics,math,intermediate,basic,English,Probability and Statistics intermediate English
Swift,programming,beginner,advanced,English,Swift beginner English
Modern History,history,advanced,advanced,English,Modern History advanced English
Computer Vision,machine learning,intermediate,none,English,Computer Vision intermediate English
Optics,physics,intermediate,advanced,Hindi,Optics intermediate Hindi
R,programming,intermediate,advanced,English,R intermediate English
Deep Learning,machine learning,intermediate,none,Hindi,Deep Learning intermediate Hindi
Modern Physics,physics,beginner,advanced,Hindi,Modern Physics beginner Hindi
Go,programming,intermediate,intermediate,Hindi,Go intermediate Hindi
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
Drama,literature,intermediate,basic,English,Drama intermediate English
Data Visualization,data science,beginner,advanced,Hindi,Data Visualization beginner Hindi
Poetry,literature,intermediate,basic,Hindi,Poetry intermediate Hindi
Algebra,math,beginner,advanced,Hindi,Algebra beginner Hindi
Physical Chemistry,chemistry,advanced,none,English,Physical Chemistry advanced English
Data Mining,data science,beginner,intermediate,Hindi,Data Mining beginner Hindi
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
JavaScript,programming,intermediate,advanced,English,JavaScript intermediate English
PHP,programming,intermediate,intermediate,English,PHP intermediate English
JavaScript,programming,beginner,none,English,JavaScript beginner English
Organic Chemistry,chemistry,intermediate,none,Hindi,Organic Chemistry intermediate Hindi
Medieval History,history,advanced,advanced,Hindi,Medieval History advanced Hindi
Big Data,data science,beginner,advanced,English,Big Data beginner English
Python,programming,beginner,basic,English,Python beginner English
C++,programming,intermediate,none,English,C++ intermediate English
World Wars,history,intermediate,intermediate,English,World Wars intermediate English
Data Mining,data science,intermediate,intermediate,Hindi,Data Mining intermediate Hindi
Big Data,data science,beginner,advanced,Hindi,Big Data beginner Hindi
Thermodynamics,physics,advanced,none,English,Thermodynamics advanced English
Go,programming,advanced,basic,English,Go advanced English
World Literature,literature,intermediate,basic,English,World Literature intermediate English
World Literature,literature,intermediate,none,Hindi,World Literature intermediate Hindi
English Literature,literature,advanced,basic,Hindi,English Literature advanced Hindi
Natural Language Processing,machine learning,beginner,none,Hindi,Natural Language Processing beginner Hindi
American Literature,literature,advanced,intermediate,Hindi,American Literature advanced Hindi
Python,programming,intermediate,intermediate,English,Python intermediate English
Number Theory,math,advanced,none,Hindi,Number Theory advanced Hindi
Mechanics,physics,advanced,none,English,Mechanics advanced English
Deep Learning,machine learning,intermediate,none,Hindi,Deep Learning intermediate Hindi
Modern History,history,beginner,basic,Hindi,Modern History beginner Hindi
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
Algebra,math,intermediate,none,Hindi,Algebra intermediate Hindi
Calculus,math,beginner,advanced,Hindi,Calculus beginner Hindi
Calculus,math,intermediate,none,English,Calculus intermediate English
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
Geometry,math,advanced,intermediate,Hindi,Geometry advanced Hindi
Medieval History,history,advanced,intermediate,English,Medieval History advanced English
Data Visualization,data science,advanced,none,English,Data Visualization advanced English
C++,programming,beginner,intermediate,Hindi,C++ beginner Hindi
Ancient History,history,advanced,intermediate,Hindi,Ancient History advanced Hindi
Mechanics,physics,advanced,none,English,Mechanics advanced English
Modern Physics,physics,intermediate,basic,Hindi,Modern Physics intermediate Hindi
Poetry,literature,advanced,intermediate,English,Poetry advanced English
C++,programming,advanced,basic,Hindi,C++ advanced Hindi
Probability and Statistics,math,intermediate,basic,English,Probability and Statistics intermediate English
Geometry,math,beginner,basic,Hindi,Geometry beginner Hindi
Probability and Statistics,math,intermediate,none,Hindi,Probability and Statistics intermediate Hindi
Optics,physics,intermediate,intermediate,Hindi,Optics intermediate Hindi
Ruby,programming,beginner,intermediate,Hindi,Ruby beginner Hindi
Optics,physics,intermediate,basic,English,Optics intermediate English
Analytical Chemistry,chemistry,beginner,basic,Hindi,Analytical Chemistry beginner Hindi
Indian History,history,beginner,intermediate,English,Indian History beginner English
Python,programming,advanced,intermediate,Hindi,Python advanced Hindi
Python,programming,advanced,advanced,Hindi,Python advanced Hindi
Modern Physics,physics,intermediate,basic,English,Modern Physics intermediate English
Data Mining,data science,intermediate,basic,English,Data Mining intermediate English
Optics,physics,intermediate,intermediate,English,Optics intermediate English
Optics,physics,beginner,basic,Hindi,Optics beginner Hindi
Inorganic Chemistry,chemistry,advanced,basic,Hindi,Inorganic Chemistry advanced Hindi
Modern Physics,physics,beginner,basic,Hindi,Modern Physics beginner Hindi
Poetry,literature,intermediate,advanced,Hindi,Poetry intermediate Hindi
Data Mining,data science,intermediate,none,English,Data Mining intermediate English
Probability and Statistics,math,intermediate,none,Hindi,Probability and Statistics intermediate Hindi
Machine Learning Basics,machine learning,advanced,none,Hindi,Machine Learning Basics advanced Hindi
PHP,programming,advanced,advanced,English,PHP advanced English
Modern History,history,advanced,none,English,Modern History advanced English
R,programming,advanced,basic,Hindi,R advanced Hindi
World Literature,literature,intermediate,advanced,English,World Literature intermediate English
Inorganic Chemistry,chemistry,beginner,advanced,English,Inorganic Chemistry beginner English
Algebra,math,beginner,basic,English,Algebra beginner English
English Literature,literature,intermediate,basic,Hindi,English Literature intermediate Hindi
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
Optics,physics,intermediate,intermediate,English,Optics intermediate English
Computer Vision,machine learning,beginner,intermediate,Hindi,Computer Vision beginner Hindi
World Wars,history,advanced,basic,Hindi,World Wars advanced Hindi
Modern Physics,physics,beginner,intermediate,Hindi,Modern Physics beginner Hindi
Poetry,literature,advanced,advanced,English,Poetry advanced English
Java,programming,advanced,basic,English,Java advanced English
Organic Chemistry,chemistry,intermediate,intermediate,English,Organic Chemistry intermediate English
C++,programming,intermediate,none,Hindi,C++ intermediate Hindi
Electricity and Magnetism,physics,intermediate,intermediate,Hindi,Electricity and Magnetism intermediate Hindi
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Java,programming,advanced,basic,Hindi,Java advanced Hindi
Optics,physics,advanced,advanced,English,Optics advanced English
Geometry,math,advanced,none,English,Geometry advanced English
English Literature,literature,advanced,none,Hindi,English Literature advanced Hindi
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Data Analysis,data science,beginner,advanced,Hindi,Data Analysis beginner Hindi
World Literature,literature,intermediate,intermediate,Hindi,World Literature intermediate Hindi
Go,programming,beginner,none,Hindi,Go beginner Hindi
Indian History,history,advanced,intermediate,English,Indian History advanced English
Inorganic Chemistry,chemistry,intermediate,none,Hindi,Inorganic Chemistry intermediate Hindi
Algebra,math,beginner,advanced,Hindi,Algebra beginner Hindi
Geometry,math,advanced,intermediate,Hindi,Geometry advanced Hindi
Electricity and Magnetism,physics,beginner,intermediate,Hindi,Electricity and Magnetism beginner Hindi
Modern Physics,physics,beginner,advanced,Hindi,Modern Physics beginner Hindi
Java,programming,advanced,advanced,Hindi,Java advanced Hindi
Algebra,math,advanced,advanced,Hindi,Algebra advanced Hindi
Number Theory,math,advanced,none,English,Number Theory advanced English
JavaScript,programming,beginner,basic,Hindi,JavaScript beginner Hindi
Computer Vision,machine learning,advanced,basic,Hindi,Computer Vision advanced Hindi
Mechanics,physics,intermediate,intermediate,English,Mechanics intermediate English
Python,programming,intermediate,advanced,English,Python intermediate English
World Wars,history,intermediate,intermediate,English,World Wars intermediate English
Data Visualization,data science,beginner,basic,English,Data Visualization beginner English
Poetry,literature,advanced,intermediate,English,Poetry advanced English
Poetry,literature,advanced,none,English,Poetry advanced English
Deep Learning,machine learning,advanced,none,Hindi,Deep Learning advanced Hindi
Modern Physics,physics,intermediate,advanced,English,Modern Physics intermediate English
Machine Learning Basics,machine learning,beginner,basic,Hindi,Machine Learning Basics beginner Hindi
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Poetry,literature,intermediate,none,Hindi,Poetry intermediate Hindi
English Literature,literature,intermediate,none,English,English Literature intermediate English
Indian History,history,advanced,advanced,English,Indian History advanced English
Deep Learning,machine learning,intermediate,none,English,Deep Learning intermediate English
Machine Learning Basics,machine learning,intermediate,advanced,English,Machine Learning Basics intermediate English
Ruby,programming,intermediate,none,Hindi,Ruby intermediate Hindi
Inorganic Chemistry,chemistry,beginner,basic,Hindi,Inorganic Chemistry beginner Hindi
Big Data,data science,advanced,intermediate,English,Big Data advanced English
English Literature,literature,intermediate,intermediate,Hindi,English Literature intermediate Hindi
Big Data,data science,advanced,intermediate,English,Big Data advanced English
PHP,programming,advanced,intermediate,Hindi,PHP advanced Hindi
Ruby,programming,intermediate,advanced,Hindi,Ruby intermediate Hindi
Number Theory,math,beginner,none,Hindi,Number Theory beginner Hindi
Data Visualization,data science,advanced,intermediate,English,Data Visualization advanced English
Drama,literature,advanced,advanced,English,Drama advanced English
JavaScript,programming,intermediate,intermediate,Hindi,JavaScript intermediate Hindi
C++,programming,intermediate,advanced,English,C++ intermediate English
Machine Learning Basics,machine learning,intermediate,none,English,Machine Learning Basics intermediate English
Big Data,data science,beginner,none,English,Big Data beginner English
PHP,programming,advanced,intermediate,English,PHP advanced English
Natural Language Processing,machine learning,advanced,none,English,Natural Language Processing advanced English
Java,programming,advanced,intermediate,Hindi,Java advanced Hindi
Ancient History,history,intermediate,none,Hindi,Ancient History intermediate Hindi
World Literature,literature,advanced,advanced,Hindi,World Literature advanced Hindi
Modern History,history,beginner,none,English,Modern History beginner English
Electricity and Magnetism,physics,advanced,intermediate,Hindi,Electricity and Magnetism advanced Hindi
Poetry,literature,intermediate,intermediate,Hindi,Poetry intermediate Hindi
Indian History,history,beginner,none,Hindi,Indian History beginner Hindi
PHP,programming,intermediate,advanced,English,PHP intermediate English
Calculus,math,intermediate,advanced,English,Calculus intermediate English
Indian History,history,beginner,intermediate,Hindi,Indian History beginner Hindi
Ancient History,history,beginner,none,English,Ancient History beginner English
PHP,programming,beginner,advanced,Hindi,PHP beginner Hindi
Ancient History,history,beginner,none,Hindi,Ancient History beginner Hindi
Thermodynamics,physics,intermediate,advanced,English,Thermodynamics intermediate English
R,programming,advanced,intermediate,Hindi,R advanced Hindi
Python,programming,intermediate,none,Hindi,Python intermediate Hindi
Inorganic Chemistry,chemistry,intermediate,basic,English,Inorganic Chemistry intermediate English
JavaScript,programming,beginner,basic,English,JavaScript beginner English
Swift,programming,intermediate,none,Hindi,Swift intermediate Hindi
Indian History,history,intermediate,basic,Hindi,Indian History intermediate Hindi
Ancient History,history,advanced,advanced,Hindi,Ancient History advanced Hindi
English Literature,literature,advanced,intermediate,Hindi,English Literature advanced Hindi
Physical Chemistry,chemistry,advanced,basic,Hindi,Physical Chemistry advanced Hindi
Indian History,history,advanced,advanced,English,Indian History advanced English
Machine Learning Basics,machine learning,beginner,basic,Hindi,Machine Learning Basics beginner Hindi
Big Data,data science,advanced,intermediate,English,Big Data advanced English
Mechanics,physics,intermediate,advanced,English,Mechanics intermediate English
Big Data,data science,beginner,advanced,Hindi,Big Data beginner Hindi
Data Analysis,data science,advanced,advanced,English,Data Analysis advanced English
R,programming,intermediate,basic,English,R intermediate English
Indian History,history,intermediate,none,English,Indian History intermediate English
Big Data,data science,advanced,none,Hindi,Big Data advanced Hindi
Ancient History,history,advanced,intermediate,Hindi,Ancient History advanced Hindi
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Drama,literature,advanced,intermediate,English,Drama advanced English
Calculus,math,advanced,none,Hindi,Calculus advanced Hindi
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
Data Analysis,data science,intermediate,none,Hindi,Data Analysis intermediate Hindi
Java,programming,advanced,none,English,Java advanced English
Go,programming,beginner,none,English,Go beginner English
Medieval History,history,beginner,basic,Hindi,Medieval History beginner Hindi
Analytical Chemistry,chemistry,intermediate,intermediate,English,Analytical Chemistry intermediate English
English Literature,literature,intermediate,none,Hindi,English Literature intermediate Hindi
World Literature,literature,beginner,none,Hindi,World Literature beginner Hindi
Calculus,math,intermediate,basic,English,Calculus intermediate English
Electricity and Magnetism,physics,intermediate,advanced,Hindi,Electricity and Magnetism intermediate Hindi
Java,programming,beginner,intermediate,English,Java beginner English
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
Inorganic Chemistry,chemistry,intermediate,basic,English,Inorganic Chemistry intermediate English
Poetry,literature,intermediate,basic,English,Poetry intermediate English
Modern Physics,physics,beginner,advanced,Hindi,Modern Physics beginner Hindi
Big Data,data science,beginner,basic,English,Big Data beginner English
World Literature,literature,advanced,advanced,English,World Literature advanced English
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Algebra,math,intermediate,advanced,Hindi,Algebra intermediate Hindi
Big Data,data science,beginner,basic,English,Big Data beginner English
PHP,programming,intermediate,advanced,English,PHP intermediate English
Computer Vision,machine learning,beginner,advanced,English,Computer Vision beginner English
Data Visualization,data science,advanced,advanced,English,Data Visualization advanced English
Ancient History,history,intermediate,intermediate,Hindi,Ancient History intermediate Hindi
Big Data,data science,intermediate,advanced,Hindi,Big Data intermediate Hindi
